system,difficulty,faithfulness,answer_relevancy,context_precision,context_recall,latency
custom_gpt,easy,0.11593416275292337,0.8542831402687527,0.0083333333325,0.0,0.0
custom_gpt,hard,0.42904458957273356,0.8746556521012243,0.20533333332116108,0.2,0.0
custom_gpt,medium,0.4618816687605819,0.8679878232402725,0.32476190474335315,0.5142857142857142,0.0
gemini_gems,easy,0.39638650805959824,0.7874963942772591,0.0083333333325,0.0,0.0
gemini_gems,hard,0.6239254377673976,0.6791556528037092,0.1625555555474815,0.18666666666666665,0.0
gemini_gems,medium,0.6255775225936312,0.8054855943051213,0.34761904759753176,0.42857142857142855,0.0
itihashqa_baseline,easy,0.2125,0.02271398534793338,0.0083333333325,0.025,3.9264664349999974
itihashqa_baseline,hard,0.7048080808080808,0.16877418235823463,0.19644444443319628,0.26,5.848415055999994
itihashqa_baseline,medium,0.5290331890331891,0.29969036114918685,0.35551587299256315,0.4,5.326424854285753
notebooklm,easy,0.0625,0.02288600369813393,0.0,0.025,0.0
notebooklm,hard,0.3846652236652237,0.1734477719785522,0.2095555555441648,0.16666666666666663,0.0
notebooklm,medium,0.44912183055040195,0.2986872770304157,0.3761904761667659,0.45714285714285713,0.0
talrag,easy,0.33287537721213006,0.5638199016335996,0.09093749999444531,0.05,27.671429227499992
talrag,hard,0.5066205694794133,0.09620615336852793,0.3738333333073875,0.2533333333333333,19.359838256000003
talrag,medium,0.40301702812786555,0.5670531851067221,0.19253968253137962,0.17142857142857143,24.756018459999996
